Iteration,temps total,temps attente agv2,stock max warehouse
570,6114.61,91.39,1
571,6117.33,96.94,1
572,6104.68,94.10,1
573,6129.41,94.00,1
574,6097.33,92.15,1
575,6117.36,91.36,1
576,6097.86,91.91,1
577,6153.57,92.46,1
578,6107.06,85.18,1
579,6100.61,85.37,1
580,6156.91,94.58,1
581,6117.74,91.78,1
582,6101.76,91.22,1
583,6137.93,90.75,1
584,6140.89,88.22,1
585,6103.70,82.29,1
586,6100.50,88.69,1
587,6095.87,89.05,1
588,6084.28,91.69,1
589,6095.27,86.29,1
590,6145.63,85.18,1
591,6166.46,93.31,1
592,6176.53,90.41,1
593,6096.59,94.58,1
594,6126.53,90.85,1
595,6115.83,96.87,1
596,6087.43,92.11,1
597,6105.48,96.08,1
598,6123.71,86.29,1
599,6129.69,97.03,1
600,6070.20,94.73,1
601,6097.72,88.43,1
602,6156.55,91.11,1
603,6100.97,95.51,1
604,6142.93,90.51,1
605,6100.86,90.18,1
606,6061.88,89.19,1
607,6097.68,94.17,1
608,6065.31,85.83,1
609,6120.13,94.88,1
610,6171.11,97.51,1
611,6072.16,91.55,1
612,6125.94,90.69,1
613,6157.81,99.09,1
614,6145.44,94.12,1
615,6120.65,89.54,1
616,6124.25,79.22,1
617,6155.76,83.80,1
618,6061.03,89.43,1
619,6123.18,91.12,1
620,6031.50,86.38,1
621,6133.12,88.81,1
622,6099.66,97.12,1
623,6138.29,91.30,1
624,6084.75,92.73,1
625,6114.95,92.13,1
626,6146.50,89.75,1
627,6095.09,85.31,1
628,6163.28,92.81,1
629,6122.58,93.39,1
630,6132.27,92.15,1
631,6122.39,88.99,1
632,6138.78,89.52,1
633,6103.48,88.93,1
634,6078.93,90.92,1
635,6118.38,87.21,1
636,6106.03,89.61,1
637,6106.56,91.30,1
638,6104.02,86.66,1
639,6164.09,92.81,1
640,6159.85,87.16,1
641,6122.31,94.16,1
642,6161.60,89.14,1
643,6145.38,95.51,1
644,6104.27,84.99,1
645,6133.78,90.90,1
646,6136.92,90.19,1
647,6153.07,86.83,1
648,6104.62,87.19,1
649,6077.61,95.89,1
650,6105.85,94.74,1
651,6105.55,88.41,1
652,6148.52,92.85,1
653,6117.56,87.45,1
654,6123.96,86.21,1
655,6124.34,90.66,1
656,6123.82,94.43,1
657,6163.28,93.41,1
658,6160.14,86.72,1
659,6098.48,89.79,1
660,6121.61,94.00,1
661,6130.96,91.61,1
662,6125.47,88.78,1
663,6109.07,91.47,1
664,6101.05,92.33,1
665,6161.14,95.99,1
666,6147.08,85.30,1
667,6173.74,97.32,1
668,6183.22,91.98,1
669,6123.41,92.18,1
670,6076.23,92.70,1
671,6114.77,89.11,1
672,6167.93,91.27,1
673,6095.25,98.98,1
674,6147.68,91.45,1
675,6196.14,96.30,1
676,6142.56,96.45,1
677,6144.44,98.84,1
678,6142.83,88.27,1
679,6145.29,83.27,1
680,6190.23,92.80,1
681,6147.39,92.36,1
682,6070.02,96.86,1
683,6126.84,85.83,1
684,6129.88,92.18,1
685,6072.95,95.21,1
686,6056.73,86.84,1
687,6130.25,92.79,1
688,6108.43,82.14,1
689,6109.60,87.13,1
690,6165.83,93.85,1
691,6150.35,91.76,1
692,6099.99,96.33,1
693,6108.42,99.33,1
694,6125.42,93.02,1
695,6096.14,88.68,1
696,6117.96,92.73,1
697,6104.63,96.02,1
698,6119.13,91.34,1
699,6135.76,94.15,1
700,6054.53,85.18,1
701,6077.52,89.98,1
702,6155.33,91.76,1
703,6094.69,95.15,1
704,6117.33,95.63,1
705,6113.61,96.58,1
706,6068.13,92.61,1
707,6105.09,91.05,1
708,6100.62,87.53,1
709,6121.16,95.90,1
710,6105.42,85.26,1
711,6116.67,93.64,1
712,6102.96,91.04,1
713,6074.48,91.61,1
714,6115.34,92.20,1
715,6131.21,92.99,1
716,6087.79,90.88,1
717,6090.96,85.95,1
718,6104.41,92.10,1
719,6087.25,92.38,1
720,6094.71,78.92,1
721,6127.18,91.66,1
722,6145.64,98.41,1
723,6133.98,97.62,1
724,6085.56,90.32,1
725,6089.18,97.58,1
726,6148.45,91.10,1
727,6151.66,87.89,1
728,6138.03,96.05,1
729,6124.89,88.41,1
730,6130.43,91.46,1
731,6082.18,88.45,1
732,6140.08,96.34,1
733,6137.16,92.79,1
734,6169.15,95.17,1
735,6153.54,86.87,1
736,6070.78,87.70,1
737,6053.74,89.24,1
738,6086.72,93.10,1
739,6090.29,84.81,1
740,6101.73,92.76,1
741,6039.74,90.39,1
742,6113.35,84.80,1
743,6141.61,82.03,1
744,6089.60,91.33,1
745,6145.61,90.78,1
746,6081.36,89.61,1
747,6120.84,88.74,1
748,6053.77,80.62,1
749,6163.81,89.22,1
750,6066.15,89.84,1
751,6144.50,96.19,1
752,6119.28,91.66,1
753,6109.15,90.53,1
754,6105.75,95.91,1
755,6108.20,88.25,1
756,6133.21,95.42,1
757,6099.42,94.58,1
758,6105.98,92.84,1
759,6058.72,82.53,1
760,6136.87,82.98,1
761,6118.56,89.06,1
762,6113.82,93.56,1
763,6114.54,85.12,1
764,6143.35,91.22,1
765,6083.21,92.62,1
766,6124.35,90.27,1
767,6081.89,82.37,1
768,6144.78,99.36,1
769,6136.13,93.30,1
770,6109.14,91.71,1
771,6085.48,86.53,1
772,6140.22,85.57,1
773,6135.61,89.56,1
774,6117.97,84.22,1
775,6180.66,86.58,1
776,6104.33,88.05,1
777,6147.91,87.69,1
778,6142.74,93.59,1
779,6130.88,93.82,1
780,6134.29,81.73,1
781,6102.03,92.62,1
782,6102.48,96.25,1
783,6146.84,92.87,1
784,6063.09,87.28,1
785,6141.54,89.71,1
786,6122.27,91.24,1
787,6112.78,89.14,1
788,6162.62,87.52,1
789,6134.35,95.67,1
790,6106.12,89.63,1
